Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	O'Hara	Tim		C	OH02	2024	2/18/2024	10056590
	Orr	Patrick		C	SC03	2024	2/21/2024	10056806
Mr.	Pastorius	David A.		D	OH09	2024	2/29/2024	40003611
Hon.	Paulina Luna	Anna		P	FL13	2024	1/29/2024	8220118
Hon.	Pelosi	Nancy		P	CA11	2024	2/23/2024	20024542
Hon.	Peters	Scott H.		P	CA50	2024	1/22/2024	20024316
Hon.	Peters	Scott H.		P	CA50	2024	2/15/2024	20024477
Hon.	Peters	Scott H.		P	CA50	2024	3/11/2024	20024662
Hon.	Phillips	Dean		B	MN03	2024	1/30/2024	8220117
Hon.	Pingree	Chellie		P	ME01	2024	2/6/2024	20024446
	Prabhudoss	John		C	VA07	2024	1/25/2024	10056641
	Pruett	Dasha		C	PA05	2024	2/22/2024	10056666
	Reeves	Jay		C	MN06	2024	3/2/2024	10056851
	Richmond	Quinn Lamar		C	CA37	2024	2/23/2024	10056819
Hon.	Rogers	Harold Dallas		P	KY05	2024	2/20/2024	8220155
Hon.	Rogers	Harold Dallas		P	KY05	2024	3/13/2024	8220176
Hon.	Salazar	Maria Elvira		P	FL27	2024	1/12/2024	20024296
Hon.	Salazar	Maria Elvira		P	FL27	2024	2/8/2024	20024465
Hon.	Salazar	Maria Elvira		P	FL27	2024	3/10/2024	20024649
	Sauers	John		C	NJ11	2024	3/16/2024	10056908
	Schwartz	Dan		X	NV03	2024	2/21/2024	30019608
Hon.	Sessions	Pete		P	TX17	2024	1/24/2024	20024212
Hon.	Sessions	Pete		P	TX17	2024	2/29/2024	20024375
Hon.	Sessions	Pete		P	TX17	2024	3/7/2024	20024632
Hon.	Smith	Adrian		P	NE03	2024	3/1/2024	20024577
Hon.	Spartz	Victoria		P	IN05	2024	2/15/2024	20024515
	Speedy	Mike		X	IN06	2024	2/7/2024	8220132
	Stephens	Shannon Emily		D	NY02	2024	1/30/2024	8220144
Hon.	Steube	Greg		P	FL17	2024	3/15/2024	20024660
	Swain	Alan D.		C	NC02	2024	1/17/2024	10056618
	Sykes	Jeffrey		D	LA05	2024	2/16/2024	40003602
	Sykes	Jeffrey		X	LA06	2024	2/12/2024	30019591
	Tanaka	Greg Lin		D	CA16	2024	1/22/2024	40003590
Hon.	Thanedar	Shri		P	MI13	2024	2/23/2024	20024468
	Todd	Mary		C	MT01	2024	3/2/2024	10056850
Dr.	Tsai	Rick		C	OH06	2024	1/22/2024	10056595
	Vega	Jose David		C	NY15	2024	3/4/2024	10056742
	Villarreal Rigney	John		C	TX15	2024	2/4/2024	10056644
	Walker	Christopher		C	WV02	2024	3/10/2024	10056655
	Walker	Christopher		X	WV02	2024	1/29/2024	30019578
	Warren	Darren		D	NC10	2024	2/22/2024	40003607
Hon.	Wasserman Schultz	Debbie		P	FL25	2024	1/31/2024	20024403
	Waters	Dom		W		2024		8220146
	Wilkin	Shane		C	OH02	2024	2/18/2024	10056794
	Wilkin	Shane		D	OH02	2024	1/18/2024	8220116
	Wilkin	Shane		X	OH02	2024	2/7/2024	8220133
	Witkop	Thomas		C	FL21	2024	3/4/2024	10056855
Hon.	Yakym	Rudy	III	P	IN02	2024	1/22/2024	20024353
Hon.	Yakym	Rudy	III	P	IN02	2024	1/29/2024	20024392
	Yu	Peter		A	CO04	2024	1/31/2024	10056687
	Yu	Peter		C	CO04	2024	1/28/2024	10056654
